2024-11-26 21:57:06.816 CET [27624] LOG:  el sistema de bases de datos fue apagado en 2024-11-26 21:22:27 CET
2024-11-26 22:02:06.927 CET [30024] LOG:  empezando checkpoint: time
2024-11-26 22:02:48.217 CET [30024] LOG:  checkpoint completo: escritos 382 búfers (2.3%); 0 archivos WAL añadidos, 0 eliminados, 1 reciclados; write=41.246 s, sync=0.022 s, total=41.295 s; archivos sincronizados=23, más largo=0.004 s, promedio=0.001 s; distancia=3812 kB, estimación=3812 kB; lsn=0/4465BE8, lsn de redo=0/4361048
2024-11-26 22:07:06.235 CET [30024] LOG:  empezando checkpoint: time
2024-11-26 22:07:38.121 CET [30024] LOG:  checkpoint completo: escritos 293 búfers (1.8%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=31.864 s, sync=0.014 s, total=31.886 s; archivos sincronizados=15, más largo=0.003 s, promedio=0.001 s; distancia=2606 kB, estimación=3691 kB; lsn=0/46954A8, lsn de redo=0/45ECB58
2024-11-26 22:10:02.480 CET [20628] FATAL:  terminando la conexión debido a una orden del administrador
2024-11-26 22:10:02.481 CET [30312] FATAL:  terminando la conexión debido a una orden del administrador
2024-11-26 22:10:02.489 CET [30024] LOG:  apagando
2024-11-26 22:10:02.491 CET [30024] LOG:  empezando checkpoint: shutdown immediate
2024-11-26 22:10:02.514 CET [30024] LOG:  checkpoint completo: escritos 497 búfers (3.0%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=0.006 s, sync=0.014 s, total=0.025 s; archivos sincronizados=17, más largo=0.003 s, promedio=0.001 s; distancia=3375 kB, estimación=3660 kB; lsn=0/4938870, lsn de redo=0/4938870
